name,ws:htratio,STL%â–¼
Jarrett Culver,1.05501618122977,1.8
Tyler Herro,0.983660130718954,1.1
Eric Paschall,1.07371794871795,0.9
Jordan Poole,1.04304635761589,1.3
P.J. Washington,1.09872611464968,1.5
Coby White,1.01986754966887,1.4
Miles Bridges,1.05501618122977,1.0
Bruce Brown,1.07284768211921,1.9
Donte DiVincenzo,1.03311258278146,2.6
Shai Gilgeous-Alexander,1.09150326797386,1.6
Aaron Holiday,1.10801393728223,1.7
Kevin Huerter,1.01597444089457,1.4
Sviatoslav Mykhailiuk,0.977707006369427,1.6
Josh Okogie,1.12,2.0
Collin Sexton,1.09310344827586,1.5
Landry Shamet,1.03618421052632,0.7
Anfernee Simons,1.09427609427609,0.9
Trae Young,1.03448275862069,1.4
Jarrett Allen,1.10185185185185,1.0
OG Anunoby,1.10223642172524,2.2
Dillon Brooks,1.01298701298701,1.4
John Collins,1.03738317757009,1.1
Josh Hart,1.05940594059406,1.7
Kyle Kuzma,1.053125,0.9
Donovan Mitchell,1.11945392491468,1.4
Monte Morris,1.03754266211604,1.7
Derrick White,1.05647840531561,1.3
Malcolm Brogdon,1.08910891089109,1.0
Jaylen Brown,1.08414239482201,1.6
Marquese Chriss,1.04334365325077,1.6
Kris Dunn,1.08666666666667,3.8
Dorian Finney-Smith,1.06687898089172,1.0
Josh Hart,1.05921052631579,1.7
Buddy Hield,1.07260726072607,1.4
Caris LeVert,1.05466237942122,1.9
Taurean Prince,1.06369426751592,1.5
Pascal Siakam,1.08722741433022,1.4
Devin Booker,1.04901960784314,0.9
Montrezl Harrell,1.11708860759494,1.1
Bobby Portis,1.05521472392638,1.1
Norman Powell,1.10333333333333,1.9
Terry Rozier,1.10689655172414,1.4
Myles Turner,1.07645259938838,1.2
Christian Wood,1.07384615384615,1.3
Delon Wright,1.04262295081967,2.6
Jordan Clarkson,1.06312292358804,1.3
Spencer Dinwiddie,1.04901960784314,0.9
Aaron Gordon,1.05345911949686,1.2
Jerami Grant,1.10509554140127,1.3
Gary Harris,1.05704697986577,2.1
Joe Harris,1.01628664495114,0.9
Zach LaVine,1.04901960784314,2.0
Doug McDermott,1.03833865814696,0.4
Shabazz Napier,1.05985915492958,2.4
Elfrid Payton,1.0738255033557,2.7
Julius Randle,1.05329153605016,1.2
Glenn Robinson III,1.05806451612903,1.5
Marcus Smart,1.09797297297297,2.5
T.J. Warren,1.04113924050633,1.7
Steven Adams,1.06948640483384,1.5
Kentavious Caldwell-Pope,1.04575163398693,1.5
Robert Covington,1.09584664536741,2.5
Seth Curry,1.04109589041096,1.2
Rudy Gobert,1.09467455621302,1.1
Tim Hardaway Jr.,1.03267973856209,0.9
CJ McCollum,1.05387205387205,1.0
Ben McLemore,1.05629139072848,1.3
Tony Snell,1.07051282051282,1.0
Cody Zeller,1.0,1.5
Harrison Barnes,1.05379746835443,0.8
Will Barton,1.06168831168831,1.6
Bradley Beal,1.06312292358804,1.6
Jae Crowder,1.0586319218241,1.8
Anthony Davis,1.10153846153846,2.0
Andre Drummond,1.1039755351682,2.8
Draymond Green,1.09646302250804,2.3
Maurice Harkless,1.05993690851735,1.9
Damian Lillard,1.08135593220339,1.3
Khris Middleton,1.05079365079365,1.3
Austin Rivers,1.04966887417219,1.4
Terrence Ross,1.01602564102564,2.0
Alec Burks,1.06493506493506,1.7
Jimmy Butler,1.01923076923077,2.6
Tobias Harris,1.05732484076433,1.0
Cory Joseph,1.0472972972973,1.5
Kawhi Leonard,1.11538461538462,2.6
Marcus Morris,1.0379746835443,1.2
Tristan Thompson,1.07232704402516,0.9
Kemba Walker,1.05594405594406,1.3
Eric Bledsoe,1.10034602076125,1.6
Paul George,1.04388714733542,2.3
Gordon Hayward,1.01269841269841,1.1
Hassan Whiteside,1.1030303030303,0.6
DeMar DeRozan,1.04516129032258,1.4
Danny Green,1.06148867313916,2.4
James Harden,1.08881578947368,2.3
Jrue Holiday,1.04983388704319,2.2
Joe Ingles,1.03134796238245,1.5
Patty Mills,1.03859649122807,1.7
Jeff Teague,1.10034602076125,1.4
D.J. Augustin,1.07857142857143,1.2
Brook Lopez,1.07507507507508,1.2
Kevin Love,1.04388714733542,0.9
Derrick Rose,1.08843537414966,1.5
Russell Westbrook,1.07407407407407,2.1
Mike Conley,1.09507042253521,1.3
Al Horford,1.059375,1.2
Thaddeus Young,1.07395498392283,2.8
LaMarcus Aldridge,1.08231707317073,1.0
Rudy Gay,1.10126582278481,1.1
Chris Paul,1.06271777003484,2.4
Trevor Ariza,1.08860759493671,2.2
Dwight Howard,1.09259259259259,1.1
RJ Barrett,1.04458598726115,1.6
Darius Garland,1.03448275862069,1.1
De'Andre Hunter,1.08860759493671,1.0
Ja Morant,1.05333333333333,1.3
Markelle Fultz,1.08,2.2
Kris Dunn,1.08666666666667,3.8
Carmelo Anthony,1.05,1.2
