name,handwid,DBPMâ–¼
Jarrett Culver,8.5,-0.7
Tyler Herro,8.75,-1.2
Eric Paschall,9.5,-2.0
Jordan Poole,8.5,-2.2
P.J. Washington,10.25,0.1
Coby White,9.0,-1.6
Miles Bridges,9.75,-1.0
Bruce Brown,8.5,0.8
Donte DiVincenzo,9.0,2.4
Shai Gilgeous-Alexander,9.0,0.4
Aaron Holiday,8.5,0.0
Kevin Huerter,8.5,-0.9
Sviatoslav Mykhailiuk,9.5,-1.2
Josh Okogie,9.75,0.0
Collin Sexton,8.5,-2.1
Landry Shamet,9.0,-0.3
Anfernee Simons,9.0,-1.9
Trae Young,9.25,-2.3
Jarrett Allen,10.5,1.0
OG Anunoby,9.5,1.9
Dillon Brooks,9.25,-1.4
John Collins,10.0,-0.6
Josh Hart,9.5,0.4
Kyle Kuzma,9.5,-1.0
Donovan Mitchell,9.5,-0.6
Monte Morris,8.75,-0.5
Derrick White,8.5,0.1
Malcolm Brogdon,10.25,-0.5
Jaylen Brown,9.0,-0.2
Marquese Chriss,9.0,0.6
Dorian Finney-Smith,9.75,-0.3
Josh Hart,9.25,0.4
Buddy Hield,9.0,-1.4
Caris LeVert,9.25,-0.9
Taurean Prince,8.5,-0.1
Pascal Siakam,10.0,0.5
Devin Booker,9.0,-1.3
Montrezl Harrell,9.75,0.5
Bobby Portis,9.25,-1.1
Norman Powell,9.0,0.8
Terry Rozier,8.5,-1.2
Myles Turner,9.25,1.1
Christian Wood,10.75,-0.3
Delon Wright,8.5,1.8
Jordan Clarkson,9.0,-1.3
Spencer Dinwiddie,9.0,-0.8
Aaron Gordon,10.5,0.1
Jerami Grant,9.25,-0.6
Gary Harris,9.5,0.3
Joe Harris,9.75,-0.6
Zach LaVine,8.75,-0.8
Doug McDermott,9.75,-1.3
Shabazz Napier,8.5,-0.4
Elfrid Payton,9.0,0.4
Julius Randle,8.25,-1.0
Glenn Robinson III,9.5,-1.2
Marcus Smart,8.75,1.4
T.J. Warren,9.0,0.0
Steven Adams,11.0,1.1
Kentavious Caldwell-Pope,9.0,0.4
Robert Covington,8.5,1.3
Seth Curry,8.25,-0.9
Rudy Gobert,10.0,1.9
Tim Hardaway Jr.,9.25,-1.4
CJ McCollum,9.5,-1.8
Ben McLemore,9.5,-0.6
Tony Snell,9.5,-0.6
Cody Zeller,10.5,-0.8
Harrison Barnes,8.5,-1.3
Will Barton,9.5,-0.2
Bradley Beal,9.0,-2.4
Jae Crowder,10.5,0.4
Anthony Davis,8.5,2.6
Andre Drummond,9.5,1.1
Draymond Green,9.5,1.9
Maurice Harkless,10.25,1.9
Damian Lillard,9.75,-0.9
Khris Middleton,9.0,0.7
Austin Rivers,10.0,-0.4
Terrence Ross,10.25,-0.3
Alec Burks,8.25,-0.7
Jimmy Butler,9.0,1.5
Tobias Harris,9.0,-0.5
Cory Joseph,10.5,0.1
Kawhi Leonard,11.25,2.4
Marcus Morris,8.5,-0.7
Tristan Thompson,9.25,-1.3
Kemba Walker,9.0,-0.3
Eric Bledsoe,9.75,1.1
Paul George,9.0,1.1
Gordon Hayward,9.25,0.1
Hassan Whiteside,10.25,0.7
