name,handwid,FT%â–¼
Jaxson Hayes,10.5,0.647
Eric Paschall,9.5,0.774
Coby White,9.0,0.791
Miles Bridges,9.75,0.809
Shai Gilgeous-Alexander,9.0,0.807
Josh Okogie,9.75,0.796
Collin Sexton,8.5,0.846
Trae Young,9.25,0.86
Jarrett Allen,10.5,0.633
Dillon Brooks,9.25,0.808
John Collins,10.0,0.8
Kyle Kuzma,9.5,0.735
Donovan Mitchell,9.5,0.863
Derrick White,8.5,0.853
Malcolm Brogdon,10.25,0.892
Jaylen Brown,9.0,0.724
Marquese Chriss,9.0,0.769
Buddy Hield,9.0,0.846
Caris LeVert,9.25,0.711
Pascal Siakam,10.0,0.792
Devin Booker,9.0,0.919
Montrezl Harrell,9.75,0.658
Norman Powell,9.0,0.843
Terry Rozier,8.5,0.874
Myles Turner,9.25,0.751
Christian Wood,10.75,0.744
Jordan Clarkson,9.0,0.836
Spencer Dinwiddie,9.0,0.778
Aaron Gordon,10.5,0.674
Jerami Grant,9.25,0.75
Zach LaVine,8.75,0.802
Shabazz Napier,8.5,0.824
Julius Randle,8.25,0.733
Marcus Smart,8.75,0.836
T.J. Warren,9.0,0.819
Steven Adams,11.0,0.582
Rudy Gobert,10.0,0.63
Tim Hardaway Jr.,9.25,0.819
CJ McCollum,9.5,0.757
Cody Zeller,10.5,0.682
Harrison Barnes,8.5,0.801
Bradley Beal,9.0,0.842
Anthony Davis,8.5,0.846
Andre Drummond,9.5,0.575
Damian Lillard,9.75,0.888
Khris Middleton,9.0,0.916
Terrence Ross,10.25,0.853
Alec Burks,8.25,0.887
Jimmy Butler,9.0,0.834
Tobias Harris,9.0,0.806
Kawhi Leonard,11.25,0.886
Marcus Morris,8.5,0.823
Kemba Walker,9.0,0.864
Eric Bledsoe,9.75,0.79
Paul George,9.0,0.876
Gordon Hayward,9.25,0.855
Hassan Whiteside,10.25,0.686
