name,ws:ht ratio,DBPMâ–¼
Jarrett Culver,1.05501618122977,-0.7
Tyler Herro,0.983660130718954,-1.2
Eric Paschall,1.07371794871795,-2.0
Jordan Poole,1.04304635761589,-2.2
P.J. Washington,1.09872611464968,0.1
Coby White,1.01986754966887,-1.6
Miles Bridges,1.05501618122977,-1.0
Bruce Brown,1.07284768211921,0.8
Donte DiVincenzo,1.03311258278146,2.4
Shai Gilgeous-Alexander,1.09150326797386,0.4
Aaron Holiday,1.10801393728223,0.0
Kevin Huerter,1.01597444089457,-0.9
Sviatoslav Mykhailiuk,0.977707006369427,-1.2
Josh Okogie,1.12,0.0
Collin Sexton,1.09310344827586,-2.1
Landry Shamet,1.03618421052632,-0.3
Anfernee Simons,1.09427609427609,-1.9
Trae Young,1.03448275862069,-2.3
Jarrett Allen,1.10185185185185,1.0
OG Anunoby,1.10223642172524,1.9
Dillon Brooks,1.01298701298701,-1.4
John Collins,1.03738317757009,-0.6
Josh Hart,1.05940594059406,0.4
Kyle Kuzma,1.053125,-1.0
Donovan Mitchell,1.11945392491468,-0.6
Monte Morris,1.03754266211604,-0.5
Derrick White,1.05647840531561,0.1
Malcolm Brogdon,1.08910891089109,-0.5
Jaylen Brown,1.08414239482201,-0.2
Marquese Chriss,1.04334365325077,0.6
Kris Dunn,1.08666666666667,3.1
Dorian Finney-Smith,1.06687898089172,-0.3
Josh Hart,1.05921052631579,0.4
Buddy Hield,1.07260726072607,-1.4
Caris LeVert,1.05466237942122,-0.9
Taurean Prince,1.06369426751592,-0.1
Pascal Siakam,1.08722741433022,0.5
Devin Booker,1.04901960784314,-1.3
Montrezl Harrell,1.11708860759494,0.5
Bobby Portis,1.05521472392638,-1.1
Norman Powell,1.10333333333333,0.8
Terry Rozier,1.10689655172414,-1.2
Myles Turner,1.07645259938838,1.1
Christian Wood,1.07384615384615,-0.3
Delon Wright,1.04262295081967,1.8
Jordan Clarkson,1.06312292358804,-1.3
Spencer Dinwiddie,1.04901960784314,-0.8
Aaron Gordon,1.05345911949686,0.1
Jerami Grant,1.10509554140127,-0.6
Gary Harris,1.05704697986577,0.3
Joe Harris,1.01628664495114,-0.6
Zach LaVine,1.04901960784314,-0.8
Doug McDermott,1.03833865814696,-1.3
Shabazz Napier,1.05985915492958,-0.4
Elfrid Payton,1.0738255033557,0.4
Julius Randle,1.05329153605016,-1.0
Glenn Robinson III,1.05806451612903,-1.2
Marcus Smart,1.09797297297297,1.4
T.J. Warren,1.04113924050633,0.0
Steven Adams,1.06948640483384,1.1
Kentavious Caldwell-Pope,1.04575163398693,0.4
Robert Covington,1.09584664536741,1.3
Seth Curry,1.04109589041096,-0.9
Rudy Gobert,1.09467455621302,1.9
Tim Hardaway Jr.,1.03267973856209,-1.4
CJ McCollum,1.05387205387205,-1.8
Ben McLemore,1.05629139072848,-0.6
Tony Snell,1.07051282051282,-0.6
Cody Zeller,1.0,-0.8
Harrison Barnes,1.05379746835443,-1.3
Will Barton,1.06168831168831,-0.2
Bradley Beal,1.06312292358804,-2.4
Jae Crowder,1.0586319218241,0.4
Anthony Davis,1.10153846153846,2.6
Andre Drummond,1.1039755351682,1.1
Draymond Green,1.09646302250804,1.9
Maurice Harkless,1.05993690851735,1.9
Damian Lillard,1.08135593220339,-0.9
Khris Middleton,1.05079365079365,0.7
Austin Rivers,1.04966887417219,-0.4
Terrence Ross,1.01602564102564,-0.3
Alec Burks,1.06493506493506,-0.7
Jimmy Butler,1.01923076923077,1.5
Tobias Harris,1.05732484076433,-0.5
Cory Joseph,1.0472972972973,0.1
Kawhi Leonard,1.11538461538462,2.4
Marcus Morris,1.0379746835443,-0.7
Tristan Thompson,1.07232704402516,-1.3
Kemba Walker,1.05594405594406,-0.3
Eric Bledsoe,1.10034602076125,1.1
Paul George,1.04388714733542,1.1
Gordon Hayward,1.01269841269841,0.1
Hassan Whiteside,1.1030303030303,0.7
DeMar DeRozan,1.04516129032258,-0.4
Danny Green,1.06148867313916,1.5
James Harden,1.08881578947368,1.6
Jrue Holiday,1.04983388704319,0.2
Joe Ingles,1.03134796238245,0.7
Patty Mills,1.03859649122807,-1.2
Jeff Teague,1.10034602076125,-1.3
D.J. Augustin,1.07857142857143,-1.3
Brook Lopez,1.07507507507508,2.5
Kevin Love,1.04388714733542,-0.5
Derrick Rose,1.08843537414966,-1.7
Russell Westbrook,1.07407407407407,-0.1
Mike Conley,1.09507042253521,-0.4
Al Horford,1.059375,1.0
Thaddeus Young,1.07395498392283,0.2
LaMarcus Aldridge,1.08231707317073,-0.5
Rudy Gay,1.10126582278481,-0.9
Chris Paul,1.06271777003484,1.4
Trevor Ariza,1.08860759493671,0.9
Dwight Howard,1.09259259259259,1.2
RJ Barrett,1.04458598726115,-1.5
Darius Garland,1.03448275862069,-2.8
De'Andre Hunter,1.08860759493671,-1.8
Ja Morant,1.05333333333333,-1.2
Markelle Fultz,1.08,0.0
Kris Dunn,1.08666666666667,3.1
Carmelo Anthony,1.05,-1.8
