name,wt,ht,wt * ht,3P%â–¼
Jarrett Culver,194.2,77.25,15001.95,0.299
Terence Davis,192.4,75.0,14430.0,0.388
Tyler Herro,192.4,76.5,14718.6,0.389
Cameron Johnson,205.2,79.0,16210.8,0.39
Jordan Poole,190.8,75.5,14405.4,0.279
P.J. Washington,230.4,78.5,18086.4,0.374
Coby White,191.4,75.5,14450.7,0.354
Miles Bridges,220.4,77.25,17025.9,0.33
Donte DiVincenzo,200.6,75.5,15145.3,0.336
Shai Gilgeous-Alexander,180.0,76.5,13770.0,0.347
Aaron Holiday,187.0,71.75,13417.25,0.394
Kevin Huerter,194.0,78.25,15180.5,0.38
Sviatoslav Mykhailiuk,211.6,78.5,16610.6,0.404
Collin Sexton,183.0,72.5,13267.5,0.38
Landry Shamet,188.6,76.0,14333.6,0.375
Anfernee Simons,183.2,74.25,13602.6,0.332
Trae Young,177.8,72.5,12890.5,0.361
OG Anunoby,232.4,78.25,18185.3,0.39
Dillon Brooks,220.2,77.0,16955.4,0.358
Josh Hart,209.2,75.75,15846.9,0.342
Luke Kennard,196.2,76.5,15009.3,0.399
Kyle Kuzma,222.6,80.0,17808.0,0.316
Donovan Mitchell,211.4,73.25,15485.05,0.366
Derrick White,189.8,75.25,14282.45,0.366
Malik Beasley,189.8,75.5,14329.9,0.388
Malcolm Brogdon,223.0,75.75,16892.25,0.326
Jaylen Brown,222.8,77.25,17211.3,0.382
Dorian Finney-Smith,212.6,78.5,16689.1,0.376
Josh Hart,203.6,76.0,15473.6,0.342
Buddy Hield,212.4,75.75,16089.3,0.394
Caris LeVert,191.0,77.75,14850.25,0.364
Georges Niang,230.8,78.75,18175.5,0.4
Taurean Prince,220.2,78.5,17285.7,0.339
Pascal Siakam,226.6,80.25,18184.65,0.359
Devin Booker,205.8,76.5,15743.7,0.354
Bobby Portis,246.2,81.5,20065.3,0.358
Norman Powell,215.4,75.0,16155.0,0.399
Terry Rozier,190.2,72.5,13789.5,0.407
Myles Turner,238.6,81.75,19505.55,0.344
Jordan Clarkson,186.3,75.25,14019.075,0.368
Spencer Dinwiddie,204.9,76.5,15674.85,0.308
Aaron Gordon,220.1,79.5,17497.95,0.308
Jerami Grant,214.0,78.5,16799.0,0.389
Joe Harris,215.0,76.75,16501.25,0.424
Zach LaVine,180.9,76.5,13838.85,0.38
Doug McDermott,218.0,78.25,17058.5,0.435
Shabazz Napier,175.2,71.0,12439.2,0.317
Glenn Robinson III,211.4,77.5,16383.5,0.391
Marcus Smart,227.2,74.0,16812.8,0.347
T.J. Warren,220.2,79.0,17395.8,0.403
Kentavious Caldwell-Pope,203.6,76.5,15575.4,0.385
Robert Covington,208.6,78.25,16322.95,0.335
Seth Curry,179.2,73.0,13081.6,0.452
Tim Hardaway Jr.,199.4,76.5,15254.1,0.398
CJ McCollum,197.0,74.25,14627.25,0.379
Ben McLemore,189.2,75.5,14284.6,0.4
Kelly Olynyk,234.0,82.75,19363.5,0.406
Tony Snell,198.2,78.0,15459.6,0.402
Harrison Barnes,227.8,79.0,17996.2,0.381
Will Barton,174.4,77.0,13428.8,0.375
Bradley Beal,201.8,75.25,15185.45,0.353
Jae Crowder,241.2,76.75,18512.1,0.343
Anthony Davis,221.8,81.25,18021.25,0.33
JaMychal Green,217.4,80.0,17392.0,0.387
Damian Lillard,188.8,73.75,13924.0,0.401
Khris Middleton,216.2,78.75,17025.75,0.415
Austin Rivers,202.8,75.5,15311.4,0.356
Terrence Ross,196.6,78.0,15334.8,0.351
Mike Scott,240.8,79.25,19083.4,0.369
Alec Burks,192.6,77.0,14830.2,0.385
Tobias Harris,222.8,78.5,17489.8,0.367
Kawhi Leonard,227.4,78.0,17737.2,0.378
Markieff Morris,240.8,79.75,19203.8,0.386
Marcus Morris,229.6,79.0,18138.4,0.408
Isaiah Thomas,186.0,68.75,12787.5,0.413
Kemba Walker,184.0,71.5,13156.0,0.381
Eric Bledsoe,191.6,72.25,13843.1,0.344
Paul George,214.4,79.75,17098.4,0.412
Gordon Hayward,211.0,78.75,16616.25,0.383
Danny Green,208.0,77.25,16068.0,0.367
James Harden,222.0,76.0,16872.0,0.355
Jrue Holiday,199.0,75.25,14974.75,0.353
Joe Ingles,209.2,79.75,16683.7,0.399
Patty Mills,175.4,71.25,12497.25,0.382
Eric Gordon,222.0,74.0,16428.0,0.317
George Hill,181.0,73.25,13258.25,0.46
Brook Lopez,258.0,83.25,21478.5,0.314
Kevin Love,255.0,79.75,20336.25,0.374
Mike Conley,175.0,71.0,12425.0,0.375
Al Horford,246.0,80.0,19680.0,0.35
Thaddeus Young,210.0,77.75,16327.5,0.356
Rudy Gay,222.0,79.0,17538.0,0.336
Chris Paul,178.0,71.75,12771.5,0.365
Trevor Ariza,201.0,79.0,15879.0,0.372
Darius Garland,175.0,72.5,12687.5,0.355
De'Andre Hunter,225.0,79.0,17775.0,0.355
Carmelo Anthony,235.0,80.0,18800.0,0.385
